area_level,area_level_name,area_code,area_name,x,y,sigungu_code,dong_code,date,lat,lon
A,골목상권,1000012,옥인길,197039,453461,11110,11110515,201810,37.58069669361044,126.96647805541323
R,전통시장,1001264,통인시장,197342,453459,11110,11110515,201810,37.58067959801974,126.96990837264642
A,골목상권,1000027,필운대로1길,197051,453169,11110,11110530,201810,37.57806583012776,126.96661508398292
D,발달상권,1001234,서울 종로구 경복궁역_1,197440,453033,11110,11110530,201810,37.576841641346995,126.97101933328851
D,발달상권,1001237,서울 종로구 경복궁역_2,197617,453100,11110,11110530,201810,37.57744578238328,126.97302285670345
D,발달상권,1001215,서울 종로구 광화문역_1,197778,452176,11110,11110530,201810,37.56912099260624,126.97484828351317
D,발달상권,1001223,서울 종로구 광화문역_2,197546,452523,11110,11110530,201810,37.57224685729029,126.97222102081365
A,골목상권,1000016,자하문로7길,197379,453282,11110,11110530,201810,37.57908494505599,126.97032788817796
A,골목상권,1000007,북촌로5길,198383,453422,11110,11110540,201810,37.58034864628674,126.98169377486268
A,골목상권,1000008,북촌로5나길,198500,454026,11110,11110540,201810,37.58579084427702,126.98301710779448
A,골목상권,1000009,삼청로5길,198284,453968,11110,11110540,201810,37.58526789115932,126.98057170725366
D,발달상권,1001236,서울 종로구 안국역_2,198614,453102,11110,11110540,201810,37.577465842002994,126.9843095548149
A,골목상권,1000005,백석동길,197153,455283,11110,11110550,201810,37.59711313427528,126.96776158738267
A,골목상권,1000026,평창길,197845,456978,11110,11110560,201810,37.61238679531572,126.97559255857281
A,골목상권,1000025,통일로12길,196599,452806,11110,11110580,201810,37.574793663044446,126.96149978618045
D,발달상권,1001212,서대문구 서대문역_1,196996,452052,11110,11110580,201810,37.56800154053144,126.96599701842884
A,골목상권,1000006,북촌로11길,198602,453529,11110,11110600,201810,37.58131306802512,126.98417289246318
A,골목상권,1000001,계동길,198799,453610,11110,11110600,201810,37.58204315080819,126.98640304593157
D,발달상권,1001235,서울 종로구 안국역_1,198836,453194,11110,11110600,201810,37.578295063945184,126.98682259686079
U,관광특구,1001494,종로·청계 관광특구,199768,452273,11110,11110615,201810,37.56999760825391,126.99737386738917
A,골목상권,1000013,율곡로10길,199216,452946,11110,11110615,201810,37.57606099988342,126.9911247633832
A,골목상권,1000003,돈화문로11가길,198977,452902,11110,11110615,201810,37.57566432788613,126.98841923610847
D,발달상권,1001233,서울 종로구 종로3가역_3,199463,452688,11110,11110615,201810,37.57373661075475,126.99392110467872
D,발달상권,1001213,종각역 젊음의 거리,198718,452194,11110,11110615,201810,37.56928495916899,126.98548849171964
D,발달상권,1001214,종각역,198333,452228,11110,11110615,201810,37.56959068151051,126.98113043437398
D,발달상권,1001216,서울 종로구 종로3가역_1,199114,452190,11110,11110615,201810,37.569249385234336,126.98997099045233
D,발달상권,1001227,종로구청,198300,452598,11110,11110615,201810,37.57292430336401,126.98075603397326
D,발달상권,1001229,서울 종로구 종로5가역_4,199724,452666,11110,11110615,201810,37.573538507051715,126.99687565984179
D,발달상권,1001230,인사동,198703,452617,11110,11110615,201810,37.57309614790199,126.98531795215395
D,발달상권,1001232,서울 종로구 종로3가역_2,199097,452506,11110,11110615,201810,37.57209651388327,126.98977817114888
A,골목상권,1000017,종로24길,199432,452217,11110,11110615,201810,37.56949290493084,126.99357054630518
R,전통시장,1001265,광장시장,199948,452270,11110,11110615,201810,37.56997060613258,126.99941138428245
A,골목상권,1000014,율곡로16길,200357,452831,11110,11110630,201810,37.5750251205802,127.00404134640956
D,발달상권,1001218,동대문시장_2,200259,452311,11110,11110630,201810,37.57033997930861,127.00293177353284
D,발달상권,1001226,서울 종로구 종로5가역_2,199984,452662,11110,11110630,201810,37.5735025084613,126.99981887891857
D,발달상권,1001228,서울 종로구 종로5가역_3,200418,452563,11110,11110630,201810,37.57261042877212,127.00473173180995
D,발달상권,1001217,서울 종로구 종로5가역_1,200123,452320,11110,11110630,201810,37.57042109708422,127.0013923109485
R,전통시장,1001266,동대문종합시장,200715,452320,11110,11110630,201810,37.57042082786339,127.00809351482731
R,전통시장,1001267,종로신진시장,200468,452314,11110,11110630,201810,37.570366926713426,127.00529756952642
R,전통시장,1001268,충신시장,200505,452729,11110,11110630,201810,37.574106036725865,127.00571668026429
A,골목상권,1000015,이화장길,200428,453145,11110,11110640,201810,37.57785421284003,127.00484527087897
D,발달상권,1001240,혜화역 대학로_1,200277,453642,11110,11110640,201810,37.58233221017554,127.00313602901554
A,골목상권,1000010,성균관로5길,199722,453848,11110,11110650,201810,37.58418825625443,126.99685257144088
A,골목상권,1000021,창경궁로35길,200110,454168,11110,11110650,201810,37.587071469332216,127.00124543343604
A,골목상권,1000004,명륜길,199558,454351,11110,11110650,201810,37.58872018641815,126.99499551162971
D,발달상권,1001241,혜화역 대학로_2,199884,453809,11110,11110650,201810,37.583836903532614,126.99868669065837
D,발달상권,1001242,혜화역 대학로_3,200023,453715,11110,11110650,201810,37.58298997678683,127.00026039459195
D,발달상권,1001220,서울 종로구 동대문역_2,201137,452423,11110,11110670,201810,37.57134842885451,127.01287054611984
D,발달상권,1001222,동묘앞역,201266,452642,11110,11110670,201810,37.573321439748504,127.01433117083205
R,전통시장,1001269,동문시장,200983,452333,11110,11110670,201810,37.570537710302474,127.0111271853174
A,골목상권,1000022,창신2길,200890,452689,11110,11110680,201810,37.57374534730637,127.01007489285549
A,골목상권,1000023,창신5길,201066,452759,11110,11110680,201810,37.57437585680788,127.01206733294964
A,골목상권,1000024,창신길,200908,452963,11110,11110680,201810,37.57621405506108,127.01027899405544
D,발달상권,1001219,서울 종로구 동대문역_1,200917,452495,11110,11110680,201810,37.57199739059499,127.01038029305991
R,전통시장,1001270,창신골목시장,201018,452590,11110,11110680,201810,37.57285322980855,127.01152372874067
A,골목상권,1000020,지봉로8길,201461,452985,11110,11110700,201810,37.57641156274436,127.01653926205584
A,골목상권,1000011,숭인동길,201961,453039,11110,11110710,201810,37.57689717096095,127.02219966011062
A,골목상권,1000019,종로65길,201735,452935,11110,11110710,201810,37.575960590206485,127.0196409627447
A,골목상권,1000002,난계로27길,201996,452630,11110,11110710,201810,37.57321202797264,127.02259476699655
R,전통시장,1001271,동묘시장,201645,452549,11110,11110710,201810,37.572482915683175,127.01862125723255
D,발달상권,1001225,신설동역,201893,452752,11110,11110710,201810,37.57431145900534,127.02142911961411
A,골목상권,1000018,종로58가길,201450,452547,11110,11110710,201810,37.57246522332763,127.01641387029014
R,전통시장,1001272,신설종합시장,201854,452569,11110,11110710,201810,37.57266271779056,127.02098716952351
