category_id,category,parent_id,code
100000,외식업,0,0
101000,한식음식점,100000,0
101001,한식/백반/한정식,101000,Q01A01
101002,갈비/삼겹살,101000,Q01A02
101003,곱창/양구이전문,101000,Q01A03
101004,한정식전문,101000,Q01A04
101005,해장국/감자탕,101000,Q01A05
101006,돌솥/비빕밥전문점,101000,Q01A06
101007,부대찌개/섞어찌개,101000,Q01A07
101008,족발/보쌈전문,101000,Q01A08
101009,설렁탕집,101000,Q01A09
101010,쌈밥전문,101000,Q01A10
101011,두부요리전문,101000,Q01A11
101012,재첩국전문,101000,Q01A12
101013,파전전문,101000,Q01A13
101014,추어탕전문,101000,Q01A14
101015,순두부전문,101000,Q01A15
101016,보리밥전문,101000,Q01A16
101017,버섯전문점,101000,Q01A17
101018,황태전문,101000,Q01A18
101019,냉면집,101000,Q01A19
101020,기사식당,101000,Q01A21
101021,기타고기요리,101000,Q01A99
101022,죽전문점,101000,Q10A01
101023,샤브샤브전문,101000,Q10A02
101024,철판구이요리전문,101000,Q10A03
101025,퓨전음식전문,101000,Q10A04
101026,순대전문점,101000,Q10A05
101027,징기스칸요리전문,101000,Q10A06
101028,돌구이요리전문,101000,Q10A07
101029,동남아음식전문점,101000,Q10A08
101030,사철탕전문,101000,Q10A09
101031,야식집,101000,Q13A01
101032,국/찌개배달,101000,Q13A02
102000,중식음식점,100000,0
102001,중국음식/중국집,102000,Q02A00
102002,탕수육전문점,102000,Q02A01
103000,일식음식점,100000,0
103001,횟집,103000,Q03A01
103002,음식점-일식,103000,Q03A02
103003,음식점-초밥전문,103000,Q03A03
103004,참치전문점,103000,Q03A04
103005,해물찜/탕전문,103000,Q03A05
103006,아구전문,103000,Q03A06
103007,민물장어전문,103000,Q03A07
103008,매운탕전문,103000,Q03A08
103009,조개구이전문,103000,Q03A09
103010,바닷가재/게요리전문,103000,Q03A10
103011,갈치/생선구이,103000,Q03A11
103012,낙지/오징어,103000,Q03A13
103013,곰장어전문,103000,Q03A14
103014,고등어전문,103000,Q03A15
103015,굴요리전문,103000,Q03A16
103016,붕어찜전문,103000,Q03A17
103017,게장전문,103000,Q03A18
