area_code,area_name,total,m,fm,age10,age20,age30,age40,age50,age60
1000001,계동길,39262,21569,17693,1056,6374,12407,9793,6195,3437
1000002,난계로27길,21270,11042,10228,1303,3343,4103,3490,4007,5024
1000003,돈화문로11가길,59864,35499,24365,478,10269,19537,14958,9425,5197
1000004,명륜길,28902,13325,15577,1359,6709,7774,5793,4147,3120
1000005,백석동길,9697,4873,4824,1121,1447,1590,1751,1661,2127
1000006,북촌로11길,23087,14819,8268,687,3078,6856,5888,3831,2747
1000007,북촌로5길,22397,15199,7198,458,3157,7086,5888,3680,2128
1000008,북촌로5나길,10854,6516,4338,484,1444,2727,2614,2088,1497
1000009,삼청로5길,8862,5094,3768,414,1338,2208,1897,1616,1389
1000010,성균관로5길,29022,13326,15696,993,6553,8161,6131,4381,2803
1000011,숭인동길,24597,12552,12045,1599,3750,3999,3957,4859,6433
1000012,옥인길,12965,5966,6999,1904,1617,2290,2530,2025,2599
1000013,율곡로10길,26590,13296,13294,196,5079,8485,6312,4076,2442
1000014,율곡로16길,24599,15752,8847,668,3896,6886,6148,4061,2940
1000015,이화장길,23629,12899,10730,1168,4424,5581,4776,4028,3652
1000016,자하문로7길,16411,8749,7662,1439,2542,3798,3345,2447,2840
1000017,종로24길,13623,8222,5401,58,1468,2625,2984,3310,3178
1000018,종로58가길,13823,7262,6561,646,2456,3298,2661,2285,2477
1000019,종로65길,30042,15090,14952,1967,4433,4862,4957,6062,7761
1000020,지봉로8길,21946,10869,11077,2200,3084,3464,3746,4290,5162
1000021,창경궁로35길,15210,6636,8574,1535,3193,2680,2989,2241,2572
1000022,창신2길,17164,9527,7637,1083,2373,2604,3162,3714,4228
1000023,창신5길,16926,8592,8334,1372,2289,2252,2800,3690,4523
1000024,창신길,20328,10299,10029,1990,3083,2425,3210,4463,5157
1000025,통일로12길,16123,7590,8533,2394,1867,2224,2977,2743,3918
1000026,평창길,11157,5273,5884,1677,1804,1384,1735,1992,2565
1000027,필운대로1길,15732,7266,8466,1950,1841,2588,3024,2685,3644
1000028,난계로11길,26571,13656,12915,2169,4530,5656,4453,4625,5138
1000029,난계로21길,20273,10189,10084,2257,3222,4647,3435,3112,3600
1000030,다산로33길,26855,13734,13121,1659,4891,5163,4890,4921,5331
1000031,다산로36길,25005,12100,12905,3209,3806,3920,4179,4521,5370
1000032,다산로38길,23481,11754,11727,1762,4408,4179,4212,4454,4466
1000033,다산로39길,19794,10396,9398,939,3643,4048,3684,3871,3609
1000034,동호로10길,32790,15700,17090,2410,7068,7324,5630,5024,5334
1000035,동호로11길,25676,12288,13388,2719,3811,4566,4459,4167,5954
1000036,동호로15길,32286,15626,16660,1636,7936,7577,5758,4487,4892
1000037,동호로20길,30844,14932,15912,1590,7565,7174,5515,4535,4465
1000038,동호로8길,23884,11335,12549,1817,4290,4328,3878,3995,5576
1000039,명동길,167586,89592,77994,512,26327,58493,47849,26738,7667
1000040,삼일대로4길,87253,47610,39643,292,13244,29118,24936,14580,5083
1000041,장충단로8길,26147,12788,13359,1180,5744,5985,4856,3978,4404
1000042,청구로17길,28061,13482,14579,1617,6683,6564,4909,4194,4094
1000043,청구로1길,22549,10672,11877,2729,3394,3844,3722,3940,4920
1000044,퇴계로12길,38426,18434,19992,731,6445,11534,9930,6459,3327
1000045,퇴계로18길,35495,16499,18996,578,5283,11074,9618,6012,2930
1000046,퇴계로46길,52121,26377,25744,1221,12815,13665,11087,8783,4550
1000047,퇴계로56길,51936,26321,25615,1171,13041,13867,10663,8049,5145
1000048,퇴계로8길,76737,47604,29133,654,11485,25660,21743,12109,5086
1000049,퇴계로90길,31325,15604,15721,3330,4851,5804,5304,5584,6452
1000050,녹사평대로11길,9727,5225,4502,1290,1356,1575,2231,1536,1739
1000051,녹사평대로26길,14909,7501,7408,726,2309,3157,2715,2832,3170
1000052,녹사평대로32길,10294,5271,5023,490,1781,2237,1790,1778,2218
1000053,녹사평대로40나길,11053,6184,4869,613,1986,2768,2199,1737,1750
1000054,녹사평대로46길,11523,6265,5258,981,1989,2655,2201,1589,2108
1000055,대사관로34길,17088,8700,8388,1237,2985,3684,2962,2739,3481
1000056,두텁바위로1길,44891,23406,21485,2518,8476,10185,9284,7439,6989
1000057,백범로79길,26443,13392,13051,2585,4264,5562,4691,4270,5071
1000058,백범로90길,38702,19853,18849,2667,7019,10998,8135,5350,4533
1000059,서빙고로71길,16954,8855,8099,2279,2361,2615,3619,2755,3325
1000060,소월로20길,18230,9542,8688,1547,2773,3790,3261,2845,4014
1000061,신흥로20길,22905,11840,11065,2301,3375,4392,4166,3879,4792
1000062,우사단로10길,29229,14454,14775,2027,5004,6095,4993,4618,6492
1000063,우사단로14길,21159,10246,10913,1163,3510,5080,3977,3213,4216
1000064,우사단로4길,22577,11412,11165,1745,3476,4433,3828,3700,5395
1000065,원효로19길,35790,20321,15469,2813,8017,7647,7045,4971,5297
1000066,원효로41길,31760,18113,13647,2238,7560,6954,6269,4290,4449
1000067,원효로53길,23880,13225,10655,2033,3452,5694,4741,3512,4448
1000068,원효로89길,36357,16433,19924,1722,8816,10640,7576,4454,3149
1000069,이촌로22길,19210,9811,9399,1422,5504,3539,2917,2472,3356
1000070,이태원로27길,17212,8679,8533,993,3597,3953,2796,2586,3287
1000071,이태원로54길,25674,12768,12906,869,5243,7982,5039,3139,3402
1000072,장문로45길,22234,10998,11236,2133,3304,3587,3516,3926,5768
1000073,청파로47길,31085,13889,17196,1557,7755,7595,6223,4431,3524
1000074,청파로47나길,26429,13089,13340,1980,5089,5173,4685,4360,5142
1000075,청파로71길,32889,16845,16044,2901,5679,5956,5923,5860,6570
1000076,청파로73길,23389,12762,10627,1736,3431,4446,4233,4397,5146
1000077,한강대로104길,75542,41821,33721,2356,19503,19170,15824,10417,8272
1000078,한강대로15길,19253,9783,9470,444,6311,4338,3048,2481,2631
1000079,한강대로43길,41486,24966,16520,681,10154,12488,9067,5492,3604
1000080,한강대로52길,22655,13994,8661,432,2971,5741,6030,4703,2778
1000081,한강대로62길,22257,13720,8537,491,2846,5441,5840,4760,2879
1000082,한강대로7길,20198,10554,9644,1029,5907,3992,3070,2616,3584
1000083,한강대로88길,22679,11610,11069,644,5420,6299,5053,3191,2072
1000084,한남대로20길,13227,6596,6631,717,2575,3428,2671,1858,1978
1000085,회나무로13길,17701,9092,8609,1338,2941,3845,3230,2612,3735
1000086,효창원로39길,23378,11302,12076,3384,3236,4191,3970,3669,4928
1000087,후암로28길,29505,15232,14273,3371,4128,5496,5614,5099,5797
1000088,고산자로6길,56257,24846,31411,3892,8325,10727,12389,13942,6982
1000089,금호산2길,23183,11200,11983,3189,2943,4017,3921,3785,5328
1000090,금호산길,29596,14112,15484,3858,3845,5403,4880,4842,6768
1000091,둘레9길,56863,25802,31061,2280,8443,11829,14593,14689,5029
1000092,뚝섬로5길,58462,26513,31949,1870,8728,13308,15738,14683,4135
1000093,마장로27길,27631,14912,12719,2040,4055,5184,5211,5587,5554
1000094,마장로39길,17724,9290,8434,2205,2736,2823,3075,3245,3640
1000095,마조로16길,23638,12432,11206,2333,4416,3552,3846,4298,5193
1000096,마조로1길,19200,9703,9497,959,5861,3536,3266,3106,2472
1000097,매봉길,40529,19057,21472,5989,4903,8351,6726,6142,8418
1000098,무수막길,22798,10843,11955,3270,2888,4404,3917,3584,4735
1000099,무학로6길,31444,16128,15316,2666,5419,5839,5692,6107,5721
1000100,무학봉28길,19140,9420,9720,1585,3917,3159,3245,3396,3838
1000101,무학봉길,27797,13423,14374,4295,4177,4525,4772,4531,5497
1000102,사근동길,19229,9961,9268,1200,5904,3226,3250,2750,2899
1000103,상원12길,20995,11787,9208,1766,3145,4455,4168,3901,3560
1000104,상원길,35444,19506,15938,2083,5691,8326,7778,6577,4989
1000105,서울숲2길,14899,8267,6632,1084,2358,3141,2888,2647,2781
1000106,성덕정17길,29063,16212,12851,2418,4391,5320,5184,5782,5968
1000107,성덕정길,56380,25294,31086,2781,8245,11885,14422,14476,4571
1000108,성수이로18길,28086,17574,10512,811,4658,6704,6324,5541,4048
1000109,성수이로7길,59484,28250,31234,1285,9577,13862,15728,14479,4553
1000110,성수일로6길,46580,26453,20127,1541,8015,11579,10627,8553,6265
1000111,송정12라길,15615,8251,7364,1456,2906,2700,2481,2802,3270
1000112,송정4가길,26880,15303,11577,1408,5335,5768,5199,4929,4241
1000113,아차산로11길,33536,20926,12610,811,5600,8291,7948,6464,4422
1000114,아차산로15길,36885,22901,13984,945,7319,9216,8252,6732,4421
1000115,아차산로5길,40752,22670,18082,1543,6724,9850,9117,7620,5898
1000116,왕십리로14길,35339,19928,15411,2020,5443,7637,7443,7001,5795
