area_code,area_name,total,m,fm,age10,age20,age30,age40,age50,age60
1000001,계동길,590169,314981,275185,42546,123494,139454,115106,99849,69721
1000002,난계로27길,2432652,1385185,1047463,86817,484334,463560,410489,491368,496076
1000003,돈화문로11가길,1963066,1095423,867641,58272,575893,381689,312555,309619,325040
1000004,명륜길,1531344,729352,801996,187794,811636,160133,145786,119887,106120
1000005,백석동길,71211,33013,38211,4705,22189,12549,11065,12458,8239
1000006,북촌로11길,554198,280842,273350,24992,127683,133175,109614,92848,65880
1000007,북촌로5길,587903,296745,291152,18348,141552,143658,116264,97373,70704
1000008,북촌로5나길,207593,102358,105228,6748,56241,52477,40190,34117,17814
1000009,삼청로5길,214864,105223,109637,6748,58094,53863,42095,35373,18687
1000010,성균관로5길,2221517,1076161,1145358,239827,1075346,309886,230388,203080,162995
1000011,숭인동길,2202196,1196483,1005716,85239,482818,400139,369345,457527,407122
1000012,옥인길,963209,427564,535650,100464,239508,191393,178633,150959,102243
1000013,율곡로10길,1237641,682766,554871,37313,412673,241461,189711,181427,175051
1000014,율곡로16길,1855315,1071290,784025,60204,443446,370387,333187,347886,300196
1000015,이화장길,2482621,1257934,1224679,125542,815601,518656,396599,354413,271808
1000016,자하문로7길,1577482,767484,810006,113563,404985,334721,302637,248841,172727
1000017,종로24길,1346854,823330,523523,28074,368941,226723,209707,228099,285302
1000018,종로58가길,2649069,1377928,1271143,101782,522450,536087,486857,516268,485623
1000019,종로65길,3101202,1631742,1469457,131858,635236,567642,537698,640045,588710
1000020,지봉로8길,2546203,1301152,1245042,110409,506912,482586,463716,516754,465818
1000021,창경궁로35길,1662007,795917,866088,187034,593917,256339,225175,207554,192004
1000022,창신2길,1506109,784657,721456,59257,276840,238435,268882,361713,300986
1000023,창신5길,2161078,1104646,1056436,99710,390971,345722,391393,505623,427663
1000024,창신길,1453316,737392,715930,71895,288591,223186,258708,345474,265459
1000025,통일로12길,1098296,505938,592355,102515,197128,189467,205772,188319,215098
1000026,평창길,22126,6337,15794,5553,3777,1954,3057,4018,3767
1000027,필운대로1길,1150195,537512,612688,96181,285171,237619,219769,180593,130850
1000028,난계로11길,2249039,1140327,1108716,57286,469217,464889,382914,466359,408378
1000029,난계로21길,1484131,757778,726354,45225,303011,363181,262287,267535,242886
1000030,다산로33길,2596189,1351296,1244891,121472,616219,568127,460415,502108,327856
1000031,다산로36길,1487441,761690,725761,77137,293002,318683,273404,291977,233233
1000032,다산로38길,2805792,1472080,1333721,129958,605453,608635,511780,563121,386862
1000033,다산로39길,2602870,1372179,1230692,150064,613336,606767,451557,477479,303673
1000034,동호로10길,2815042,1410309,1404732,166672,670873,592546,482584,455833,446536
1000035,동호로11길,1308213,656139,652081,69401,306614,273756,214077,208284,236079
1000036,동호로15길,2376852,1212233,1164620,137483,612065,496173,390256,369175,371694
1000037,동호로20길,2041198,1067608,973586,96283,542625,426061,349544,343008,283672
1000038,동호로8길,2197904,1112058,1085840,131223,538779,451413,363747,347217,365524
1000039,명동길,3755979,1912613,1843364,91412,1028898,945909,711820,542271,435672
1000040,삼일대로4길,2267079,1296380,970694,37333,488196,507897,477727,410623,345297
1000041,장충단로8길,1413247,740621,672620,41644,385076,311455,247569,243772,183731
1000042,청구로17길,2507292,1272802,1234488,143021,625522,518832,433700,418644,367566
1000043,청구로1길,1429876,688444,741440,77448,292545,306932,259854,247859,245242
1000044,퇴계로12길,1274635,568549,706083,31058,233004,295074,245337,238881,231285
1000045,퇴계로18길,789978,375294,414685,44774,216521,177202,140104,116717,94662
1000046,퇴계로46길,1715696,954275,761416,105755,581195,318232,279623,241655,189238
1000047,퇴계로56길,1813990,966137,847847,63595,526009,404743,330049,270207,219389
1000048,퇴계로8길,1689927,823088,866837,22278,273721,415731,355684,325516,296998
