area_code,area_name,total,m,fm,age10,age20,age30,age40,age50,age60
1000001,계동길,39262,55,45,16,32,25,16,9,0
1000002,난계로27길,21270,52,48,16,19,16,19,24,0
1000003,돈화문로11가길,59864,59,41,17,33,25,16,9,0
1000004,명륜길,28902,46,54,23,27,20,14,11,0
1000005,백석동길,9697,50,50,15,16,18,17,22,0
1000006,북촌로11길,23087,64,36,13,30,26,17,12,0
1000007,북촌로5길,22397,68,32,14,32,26,16,10,0
1000008,북촌로5나길,10854,60,40,13,25,24,19,14,0
1000009,삼청로5길,8862,57,43,15,25,21,18,16,0
1000010,성균관로5길,29022,46,54,23,28,21,15,10,0
1000011,숭인동길,24597,51,49,15,16,16,20,26,0
1000012,옥인길,12965,46,54,12,18,20,16,20,0
1000013,율곡로10길,26590,50,50,19,32,24,15,9,0
1000014,율곡로16길,24599,64,36,16,28,25,17,12,0
1000015,이화장길,23629,55,45,19,24,20,17,15,0
1000016,자하문로7길,16411,53,47,15,23,20,15,17,0
1000017,종로24길,13623,60,40,11,19,22,24,23,0
1000018,종로58가길,13823,53,47,18,24,19,17,18,0
1000019,종로65길,30042,50,50,15,16,17,20,26,0
1000020,지봉로8길,21946,50,50,14,16,17,20,24,0
1000021,창경궁로35길,15210,44,56,21,18,20,15,17,0
1000022,창신2길,17164,56,44,14,15,18,22,25,0
1000023,창신5길,16926,51,49,14,13,17,22,27,0
1000024,창신길,20328,51,49,15,12,16,22,25,0
1000025,통일로12길,16123,47,53,12,14,18,17,24,0
1000026,평창길,11157,47,53,16,12,16,18,23,0
1000027,필운대로1길,15732,46,54,12,16,19,17,23,0
1000028,난계로11길,26571,51,49,17,21,17,17,19,0
1000029,난계로21길,20273,50,50,16,23,17,15,18,0
1000030,다산로33길,26855,51,49,18,19,18,18,20,0
1000031,다산로36길,25005,48,52,15,16,17,18,21,0
1000032,다산로38길,23481,50,50,19,18,18,19,19,0
1000033,다산로39길,19794,53,47,18,20,19,20,18,0
1000034,동호로10길,32790,48,52,22,22,17,15,16,0
1000035,동호로11길,25676,48,52,15,18,17,16,23,0
1000036,동호로15길,32286,48,52,25,23,18,14,15,0
1000037,동호로20길,30844,48,52,25,23,18,15,14,0
1000038,동호로8길,23884,47,53,18,18,16,17,23,0
1000039,명동길,167586,53,47,16,35,29,16,5,0
1000040,삼일대로4길,87253,55,45,15,33,29,17,6,0
1000041,장충단로8길,26147,49,51,22,23,19,15,17,0
1000042,청구로17길,28061,48,52,24,23,17,15,15,0
1000043,청구로1길,22549,47,53,15,17,17,17,22,0
1000044,퇴계로12길,38426,48,52,17,30,26,17,9,0
1000045,퇴계로18길,35495,46,54,15,31,27,17,8,0
1000046,퇴계로46길,52121,51,49,25,26,21,17,9,0
1000047,퇴계로56길,51936,51,49,25,27,21,15,10,0
1000048,퇴계로8길,76737,62,38,15,33,28,16,7,0
1000049,퇴계로90길,31325,50,50,15,19,17,18,21,0
