area_code,area_name,total,m,fm,age10,age20,age30,age40,age50,age60,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
1001496,강남 마이스 관광특구,22562,12970,9592,134,5387,7829,5600,2673,939,50,1825,4433,3940,2047,675,84,3562,3396,1660,626,264
1001495,잠실 관광특구,30675,17928,12747,146,5724,7561,6724,6446,4074,69,2849,4805,4043,3653,2509,77,2875,2756,2681,2793,1565
1001494,종로·청계 관광특구,31692,19002,12690,88,4453,9415,8633,6762,2341,35,1806,4890,5756,5081,1434,53,2647,4525,2877,1681,907
1001493,동대문패션타운 관광특구,10568,5953,4615,18,2407,3346,2305,1601,891,12,1269,1899,1353,894,526,6,1138,1447,952,707,365
1001492,명동 남대문 북창동 다동 무교동 관광특구,158818,77955,80863,586,34277,52798,41310,23186,6661,148,10471,23876,23836,15266,4358,438,23806,28922,17474,7920,2303
1001491,이태원 관광특구,5857,3193,2664,32,1556,1641,1111,954,563,12,734,905,590,599,353,20,822,736,521,355,210
1001490,길동복조리시장,471,321,150,1,47,95,139,106,83,0,30,61,93,77,60,1,17,34,46,29,23
1001489,둔촌역전통시장,169,79,90,0,12,31,37,48,41,0,4,11,15,21,28,0,8,20,22,27,13
1001488,성내골목시장,6,2,4,0,0,0,4,1,1,0,0,0,2,0,0,0,0,0,2,1,1
1001487,천호시장,9,4,5,0,0,2,1,5,1,0,0,1,0,3,0,0,0,1,1,2,1
1001483,암사종합시장,829,387,442,0,32,59,86,105,547,0,19,29,41,35,263,0,13,30,45,70,284
1001482,고덕전통시장,400,387,13,0,2,13,50,126,209,0,2,10,43,124,208,0,0,3,7,2,1
1001481,명일골목시장,531,208,323,1,32,33,62,148,255,1,22,19,17,25,124,0,10,14,45,123,131
1001480,새마을시장,385,227,158,0,42,97,112,84,50,0,28,67,66,36,30,0,14,30,46,48,20
1001479,석촌시장,165,98,67,0,19,29,47,39,31,0,10,17,26,24,21,0,9,12,21,15,10
1001478,방이시장,611,372,239,0,63,188,152,155,53,0,41,154,102,52,23,0,22,34,50,103,30
1001477,마천시장,216,77,139,1,24,40,64,58,29,1,7,14,20,23,12,0,17,26,44,35,17
1001476,풍납시장,10,2,8,0,2,1,3,3,1,0,0,0,1,0,1,0,2,1,2,3,0
1001475,강남개포시장,36,31,5,0,1,0,8,9,18,0,0,0,4,9,18,0,1,0,4,0,0
1001474,도곡시장,484,215,269,2,82,102,134,97,67,0,21,55,56,44,39,2,61,47,78,53,28
1001471,영동전통시장,3036,2192,844,20,466,811,833,606,300,12,256,593,682,442,207,8,210,218,151,164,93
1001466,미성동도깨비시장,409,167,242,1,62,80,128,111,27,0,17,39,58,39,14,1,45,41,70,72,13
1001465,신신림시장,3,2,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1001464,삼성동시장,94,38,56,0,9,18,20,25,22,0,1,9,8,8,12,0,8,9,12,17,10
1001463,신림중앙시장,12,7,5,0,0,4,2,1,5,0,0,2,2,1,2,0,0,2,0,0,3
1001462,강남골목시장,262,139,123,0,36,54,68,56,48,0,20,26,34,29,30,0,16,28,34,27,18
1001460,관악신사시장,171,79,92,0,24,41,47,38,21,0,5,19,24,18,13,0,19,22,23,20,8
1001459,신원시장,330,124,206,0,31,50,78,88,83,0,11,26,27,31,29,0,20,24,51,57,54
1001458,인헌시장,204,95,109,0,32,72,50,30,20,0,9,41,26,12,7,0,23,31,24,18,13
1001456,봉천현대시장,10,4,6,1,0,0,3,3,3,1,0,0,1,1,1,0,0,0,2,2,2
1001454,봉천제일종합시장,62,31,31,0,3,9,13,29,8,0,1,6,6,12,6,0,2,3,7,17,2
1001453,낙성대시장,16,9,7,0,1,2,2,9,2,0,1,1,2,5,0,0,0,1,0,4,2
1001452,중부시장,185,54,131,0,23,33,39,44,46,0,4,11,13,17,9,0,19,22,26,27,37
1001450,남성역골목시장,563,254,309,0,73,116,146,127,101,0,22,44,66,68,54,0,51,72,80,59,47
1001449,남성사계시장,1983,874,1109,12,267,400,405,465,434,4,71,187,217,188,207,8,196,213,188,277,227
1001448,흑석시장,171,54,117,1,24,43,55,34,14,1,5,9,14,13,12,0,19,34,41,21,2
1001447,상도4동도깨비골목시장,327,84,243,1,65,69,87,74,31,0,16,18,24,15,11,1,49,51,63,59,20
1001445,영도시장,83,41,42,0,13,19,22,19,10,0,3,8,15,9,6,0,10,11,7,10,4
1001441,본동인정시장,134,73,61,0,9,33,36,29,27,0,3,15,19,15,21,0,6,18,17,14,6
1001439,대림중앙시장,20,9,11,0,3,4,4,6,3,0,0,2,2,2,3,0,3,2,2,4,0
1001438,우리시장,18,9,9,0,2,4,2,9,1,0,0,2,0,6,1,0,2,2,2,3,0
1001437,영진시장A동,47,41,6,1,4,10,10,14,8,0,4,8,9,14,6,1,0,2,1,0,2
1001436,사러가시장,34,12,22,0,8,10,9,5,2,0,3,3,2,3,1,0,5,7,7,2,1
1001431,영등포청과시장,218,143,75,3,24,62,65,42,22,0,13,41,47,28,14,3,11,21,18,14,8
1001430,영등포전통시장,4063,1979,2084,13,593,1454,1141,584,278,0,168,626,606,392,187,13,425,828,535,192,91
1001429,은행나무시장,69,14,55,0,6,14,27,14,8,0,2,2,3,3,4,0,4,12,24,11,4
1001427,현대시장,45,11,34,0,2,6,22,10,5,0,1,1,6,1,2,0,1,5,16,9,3
1001424,남문시장,271,114,157,1,27,36,67,104,36,1,7,12,25,46,23,0,20,24,42,58,13
1001423,독산동 우시장,137,58,79,0,13,14,49,40,21,0,7,6,16,15,14,0,6,8,33,25,7
1001421,개봉중앙시장,10,5,5,0,0,1,1,2,6,0,0,0,1,0,4,0,0,1,0,2,2
1001419,가리봉시장,16,13,3,0,0,2,5,3,6,0,0,1,5,2,5,0,0,1,0,1,1
1001418,남구로시장,13,3,10,0,1,0,3,5,4,0,1,0,0,1,1,0,0,0,3,4,3
1001417,구로시장,60,19,41,0,8,21,19,6,6,0,0,7,7,1,4,0,8,14,12,5,2
1001415,방신전통시장,47,26,21,0,3,10,13,16,5,0,1,6,5,10,4,0,2,4,8,6,1
1001414,송화골목시장,563,187,376,3,87,98,168,153,54,0,20,43,56,33,35,3,67,55,112,120,19
1001413,까치산시장,46,27,19,0,4,15,16,9,2,0,1,9,10,5,2,0,3,6,6,4,0
1001411,남부골목시장,217,92,125,0,24,47,68,58,20,0,6,17,31,27,11,0,18,30,37,31,9
1001409,화곡중앙골목시장,2,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1001407,등마루시장,799,452,347,30,232,131,149,120,137,21,161,83,83,40,64,9,71,48,66,80,73
1001406,신정3동골목시장,181,94,87,1,25,26,40,48,41,0,6,11,17,33,27,1,19,15,23,15,14
1001405,신정2동골목시장,6,6,0,0,0,1,4,1,0,0,0,1,4,1,0,0,0,0,0,0,0
1001402,신월6동골목시장,229,123,106,1,42,49,64,38,35,1,16,28,35,20,23,0,26,21,29,18,12
1001401,신곡종합시장,13,9,4,0,1,1,3,2,6,0,1,1,2,1,4,0,0,0,1,1,2
1001400,신월3동골목시장,68,24,44,0,8,17,19,19,5,0,3,9,7,4,1,0,5,8,12,15,4
1001399,경창시장,208,85,123,1,8,25,49,62,63,0,4,16,26,23,16,1,4,9,23,39,47
1001398,월정로시장,123,71,52,0,8,20,26,42,27,0,3,13,14,22,19,0,5,7,12,20,8
1001397,신영시장,56,20,36,0,4,10,20,13,9,0,1,5,9,2,3,0,3,5,11,11,6
1001396,목4동시장,211,70,141,0,19,39,48,68,37,0,4,14,9,22,21,0,15,25,39,46,16
1001395,목3동시장,768,376,392,0,140,188,173,167,100,0,63,108,87,66,52,0,77,80,86,101,48
1001394,목2동시장,228,108,120,0,31,48,72,58,19,0,6,31,34,28,9,0,25,17,38,30,10
1001393,마포농수산물시장,461,295,166,0,14,51,118,175,103,0,10,30,80,105,70,0,4,21,38,70,33
1001391,망원월드컵시장,16,11,5,1,0,2,7,3,3,1,0,2,4,3,1,0,0,0,3,0,2
1001390,망원시장,60,30,30,0,10,13,9,18,10,0,3,8,6,5,8,0,7,5,3,13,2
1001386,신수시장,121,83,38,0,11,31,44,18,17,0,3,19,31,15,15,0,8,12,13,3,2
1001385,아현시장,25,5,20,0,2,9,7,4,3,0,0,3,1,1,0,0,2,6,6,3,3
1001374,대림골목시장,411,134,277,0,35,81,131,109,55,0,15,26,34,35,24,0,20,55,97,74,31
1001367,상계중앙시장,42,20,22,0,6,13,6,15,2,0,3,6,3,8,0,0,3,7,3,7,2
1001364,방학동도깨비시장,160,66,94,0,18,41,43,34,24,0,9,23,17,11,6,0,9,18,26,23,18
1001363,쌍문역골목시장,71,35,36,0,6,17,21,16,11,0,2,9,8,9,7,0,4,8,13,7,4
1001361,신도봉시장,28,15,13,0,0,4,8,14,2,0,0,2,6,7,0,0,0,2,2,7,2
1001359,창동신창시장,141,60,81,0,9,24,37,43,28,0,2,7,16,19,16,0,7,17,21,24,12
1001358,수유북부시장,12,2,10,0,4,1,2,1,4,0,0,1,1,0,0,0,4,0,1,1,4
1001357,장미원골목시장,67,41,26,0,7,12,19,20,9,0,1,7,12,15,6,0,6,5,7,5,3
1001356,수유중앙시장,127,67,60,1,13,28,37,27,21,1,7,12,20,14,13,0,6,16,17,13,8
1001355,강북종합시장,65,28,37,0,11,11,20,13,10,0,2,8,8,6,4,0,9,3,12,7,6
1001354,우이시장,157,52,105,0,9,32,39,51,26,0,2,15,14,11,10,0,7,17,25,40,16
1001353,수유전통시장,411,152,259,0,58,71,86,103,93,0,18,18,27,36,53,0,40,53,59,67,40
