area_code,area_name,total,m,fm,age10,age20,age30,age40,age50,age60,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수
1001010,풍성로37가길,28320,13999,14321,3720,4084,5078,4372,4783,6283,1850,2016,2647,2263,2292,2931,1870,2068,2431,2109,2491,3352,13046,1888,11158
1001009,천호옛길,22242,10954,11288,2919,3124,3817,3404,3722,5256,1457,1526,1989,1782,1789,2411,1462,1598,1828,1622,1933,2845,10288,1770,8518
1001008,천호옛14길,16300,8141,8159,1647,2509,2931,2383,2789,4041,820,1202,1596,1268,1372,1883,827,1307,1335,1115,1417,2158,8379,265,8114
1001007,천호대로219길,5262,2676,2586,768,806,675,749,1080,1184,398,459,350,368,542,559,370,347,325,381,538,625,2175,182,1993
1001006,천호대로197길,21885,10817,11068,3442,3085,3294,3304,3824,4936,1845,1600,1666,1589,1800,2317,1597,1485,1628,1715,2024,2619,8598,3081,5517
1001005,천호대로187길,21567,10771,10796,3131,3149,3465,3271,3834,4717,1671,1588,1817,1649,1840,2206,1460,1561,1648,1622,1994,2511,9329,2252,7077
1001004,천호대로170길,32460,15847,16613,4212,5116,6464,4991,5290,6387,2202,2381,3206,2553,2496,3009,2010,2735,3258,2438,2794,3378,15298,2147,13151
1001003,천호대로162길,28146,13826,14320,3313,4183,5333,4218,4700,6399,1681,1981,2742,2169,2267,2986,1632,2202,2591,2049,2433,3413,13489,2258,11231
1001002,천중로51길,26251,12738,13513,3767,3860,4143,3931,4483,6067,1933,1945,2124,1892,2067,2777,1834,1915,2019,2039,2416,3290,10821,1622,9199
1001001,천중로39길,27338,13506,13832,3652,3819,4416,4120,4729,6602,1877,1928,2323,2103,2209,3066,1775,1891,2093,2017,2520,3536,12040,1095,10945
1001000,진황도로47길,17719,8780,8939,2189,2577,3084,2633,3078,4158,1149,1277,1596,1358,1440,1960,1040,1300,1488,1275,1638,2198,8099,1143,6956
1000999,진황도로27길,33472,16550,16922,3787,5222,6425,4920,5564,7554,1951,2361,3217,2650,2779,3592,1836,2861,3208,2270,2785,3962,16831,2532,14299
1000998,올림픽로98길,27578,13811,13767,3591,3882,4750,4256,4680,6419,1867,1987,2546,2187,2301,2923,1724,1895,2204,2069,2379,3496,12866,1336,11530
1000997,올림픽로80길,17130,8691,8439,1728,2289,2611,2601,3321,4580,877,1141,1385,1406,1782,2100,851,1148,1226,1195,1539,2480,9101,566,8535
1000996,올림픽로78길,14230,7133,7097,1344,1981,2719,2156,2560,3470,688,911,1402,1162,1373,1597,656,1070,1317,994,1187,1873,7950,562,7388
1000995,올림픽로77길,15324,7742,7582,1613,2164,3008,2269,2697,3573,833,1027,1582,1234,1399,1667,780,1137,1426,1035,1298,1906,8011,491,7520
1000994,올림픽로71길,12805,6438,6367,1230,1868,2434,1913,2185,3175,629,879,1290,1018,1126,1496,601,989,1144,895,1059,1679,6871,322,6549
1000993,올림픽로48길,12523,6070,6453,2186,1667,1978,2062,1955,2675,1125,844,912,1009,933,1247,1061,823,1066,1053,1022,1428,4827,1727,3100
1000992,양재대로96길,19399,9546,9853,3238,2800,3043,3075,3210,4033,1735,1425,1542,1510,1534,1800,1503,1375,1501,1565,1676,2233,7806,1437,6369
1000991,양재대로95길,23663,11664,11999,3415,3529,4057,3656,4009,4997,1839,1803,2103,1811,1858,2250,1576,1726,1954,1845,2151,2747,10172,1256,8916
1000990,양재대로91길,21081,10489,10592,3289,3117,3374,3392,3571,4338,1828,1641,1725,1682,1696,1917,1461,1476,1649,1710,1875,2421,8890,1323,7567
1000989,양재대로133길,26417,12965,13452,3755,3655,4114,4033,4547,6313,1889,1867,2097,2074,2165,2873,1866,1788,2017,1959,2382,3440,11437,1691,9746
1000988,양재대로124길,25504,12481,13023,3608,3609,4133,3928,4384,5842,1893,1825,2129,1906,2059,2669,1715,1784,2004,2022,2325,3173,10805,1217,9588
1000987,양재대로116길,17769,8809,8960,2400,2407,2839,2747,3060,4316,1300,1195,1478,1375,1432,2029,1100,1212,1361,1372,1628,2287,7691,1215,6476
