area_code,area_name,total,m,fm,age10,age20,age30,age40,age50,age60,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
1001010,풍성로37가길,3706,2049,1657,9,426,729,908,997,637,3,192,402,488,530,434,6,234,327,420,467,203
1001009,천호옛길,3670,1756,1914,10,569,810,856,840,585,3,227,385,408,389,344,7,342,425,448,451,241
1001008,천호옛14길,5097,2584,2513,15,753,1261,1272,993,803,2,273,705,683,468,453,13,480,556,589,525,350
1001007,천호대로219길,2109,1149,960,10,171,412,462,534,520,9,81,281,315,297,166,1,90,131,147,237,354
1001006,천호대로197길,1756,823,933,4,177,363,446,456,310,3,82,173,197,188,180,1,95,190,249,268,130
1001005,천호대로187길,6805,3359,3446,7,993,1608,1502,1554,1141,2,401,867,814,644,631,5,592,741,688,910,510
1001004,천호대로170길,7705,4327,3378,19,1012,1593,1551,1501,2029,11,377,913,907,813,1306,8,635,680,644,688,723
1001003,천호대로162길,4485,2544,1941,14,576,1203,1180,890,622,5,254,801,718,441,325,9,322,402,462,449,297
1001002,천중로51길,4122,2280,1842,10,455,833,1006,1070,748,6,158,487,573,617,439,4,297,346,433,453,309
1001001,천중로39길,5017,2670,2347,14,586,964,1159,1132,1162,7,209,513,617,585,739,7,377,451,542,547,423
1001000,진황도로47길,7227,3596,3631,6,1065,1718,1646,1607,1185,0,425,928,907,683,653,6,640,790,739,924,532
1000999,진황도로27길,7620,4093,3527,12,1025,1749,1664,1358,1812,3,308,891,938,722,1231,9,717,858,726,636,581
1000998,올림픽로98길,2920,1294,1626,3,234,502,626,639,916,3,75,226,303,229,458,0,159,276,323,410,458
1000997,올림픽로80길,2984,1420,1564,7,401,510,614,727,725,2,132,266,268,287,465,5,269,244,346,440,260
1000996,올림픽로78길,4167,1927,2240,10,863,922,837,705,830,1,261,473,390,274,528,9,602,449,447,431,302
1000995,올림픽로77길,5500,2704,2796,14,1043,1280,1160,987,1016,2,318,677,602,439,666,12,725,603,558,548,350
1000994,올림픽로71길,4800,2391,2409,13,914,1151,1022,782,918,1,281,606,538,367,598,12,633,545,484,415,320
1000993,올림픽로48길,15156,9181,5975,51,1819,3677,3678,3416,2515,25,865,2111,2231,2202,1747,26,954,1566,1447,1214,768
1000992,양재대로96길,3966,2313,1653,5,469,893,926,998,675,3,278,534,506,524,468,2,191,359,420,474,207
1000991,양재대로95길,5554,3340,2214,6,627,1163,1223,1384,1151,3,356,749,716,781,735,3,271,414,507,603,416
1000990,양재대로91길,4676,2671,2005,5,459,893,1100,1234,985,1,200,504,623,708,635,4,259,389,477,526,350
1000989,양재대로133길,3802,1636,2166,13,450,697,839,920,883,8,138,312,378,349,451,5,312,385,461,571,432
1000988,양재대로124길,3877,2170,1707,7,400,749,926,917,878,3,171,402,507,500,587,4,229,347,419,417,291
1000987,양재대로116길,2561,1428,1133,3,291,504,621,635,507,1,119,258,319,363,368,2,172,246,302,272,139
1000986,양재대로101길,8647,4540,4107,22,1387,1996,1824,1503,1915,11,460,981,1053,771,1264,11,927,1015,771,732,651
1000985,암사길,1483,787,696,0,129,302,369,399,284,0,46,138,193,234,176,0,83,164,176,165,108
1000984,성안로3길,15210,8890,6320,56,1836,3611,3750,3357,2600,24,835,1906,2179,2124,1822,32,1001,1705,1571,1233,778
1000983,성내로5길,10613,6278,4335,44,1236,2694,2728,2485,1426,20,568,1523,1604,1554,1009,24,668,1171,1124,931,417
1000982,상일로5길,5239,3749,1490,10,903,2139,936,707,544,9,653,1827,633,440,187,1,250,312,303,267,357
1000981,상암로5길,4364,1830,2534,5,320,664,985,1154,1236,2,102,258,396,379,693,3,218,406,589,775,543
1000980,상암로51길,4331,2178,2153,10,434,823,1042,1167,855,6,153,449,571,559,440,4,281,374,471,608,415
1000979,상암로4길,3991,1815,2176,4,449,672,928,884,1054,4,149,321,441,333,567,0,300,351,487,551,487
1000978,상암로14길,3562,1636,1926,2,410,630,822,774,924,2,143,302,411,276,502,0,267,328,411,498,422
1000977,명일로13길,3887,2065,1822,1,595,1051,836,820,584,0,231,560,462,434,378,1,364,491,374,386,206
1000976,동남로85길,885,359,526,1,83,161,187,245,208,0,24,65,74,92,104,1,59,96,113,153,104
1000975,동남로82길,601,224,377,0,48,115,130,204,104,0,14,37,50,75,48,0,34,78,80,129,56
1000974,동남로65길,2695,928,1767,2,555,819,595,496,228,2,108,264,200,216,138,0,447,555,395,280,90
1000973,구천면로42길,2452,1107,1345,5,241,532,617,616,441,2,74,236,270,290,235,3,167,296,347,326,206
1000972,구천면로41길,2294,1036,1258,2,239,505,618,596,334,1,82,206,298,258,191,1,157,299,320,338,143
1000971,구천면로36길,1966,1002,964,2,182,423,477,505,377,0,50,182,224,266,280,2,132,241,253,239,97
1000970,고덕로61길,756,302,454,1,82,114,153,191,215,0,25,52,53,68,104,1,57,62,100,123,111
1000969,고덕로25길,1623,583,1040,3,119,279,381,577,264,0,45,94,120,166,158,3,74,185,261,411,106
