상가업소번호,상호명,업종코드,업종명,시도명,시군구코드,시군구명,행정동코드,행정동명,지번본번지,지번부번지,지번주소,경도,위도,code,y,x,area_code
19911397,커피빈코리아선릉로93길점,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168064000,역삼1동,696,42.0,서울특별시 강남구 역삼동 696-42,127.047883157395,37.505675040057994,109001,445135.05677881563,204233.7691263137,1001087.0
19905471,와라와라호프,Q09A01,호프/맥주,서울특별시,11680,강남구,1168060000,대치1동,604,,서울특별시 강남구 대치동 604,127.061026050567,37.4939223326479,110001,443831.33089626953,205396.6932322484,1001053.0
20014818,쉼터,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,105001,445941.76218122244,205048.24701150547,1000935.0
20015136,배제현의웰빙낙지한마리수제비,Q03A13,낙지/오징어,서울특별시,11680,강남구,1168051000,신사동,512,13.0,서울특별시 강남구 신사동 512-13,127.020944625774,37.5175739922091,103012,446454.81781776476,201851.6037098318,1001470.0
20027817,마깐바냑,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168064000,역삼1동,831,45.0,서울특별시 강남구 역삼동 831-45,127.03100500318999,37.493652872003295,105001,443800.1264896472,202741.8632588378,1001052.0
20027870,강남김밥,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168063000,대치4동,940,8.0,서울특별시 강남구 대치동 940-8,127.05856031293999,37.49846206005221,105001,444335.043023529,205178.32811851238,1000920.0
20099319,산울FNC,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168065600,도곡2동,467,17.0,서울특별시 강남구 도곡동 467-17,127.054163435442,37.4892992237675,105001,443317.8550904696,204790.1094064084,1001035.0
20482406,소노야코엑스점,Q03A02,음식점-일식,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.05913910242799,37.5118203253706,103002,445817.67080808943,205228.57719958626,1001103.0
20729029,달라스이용원,F01A04,남성미용실,서울특별시,11680,강남구,1168052100,논현1동,37,16.0,서울특별시 강남구 논현동 37-16,127.029772362403,37.51462831244071,501002,446128.0949959895,202632.1207380597,1001108.0
20787543,자임한복,D05A10,한복/갈옷/민속옷,서울특별시,11680,강남구,1168051000,신사동,586,12.0,서울특별시 강남구 신사동 586-12,127.027614145299,37.5214225188702,701010,446882.10797603615,202441.09532832526,1000906.0
20783574,선경바둑,N01A09,기원,서울특별시,11680,강남구,1168054500,압구정동,638,5.0,서울특별시 강남구 신사동 638-5,127.03528005896798,37.52877489298768,302005,447698.35624312796,203118.45741461864,1001141.0
20303513,김반장,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168064000,역삼1동,681,30.0,서울특별시 강남구 역삼동 681-30,127.04153180328301,37.508813408902995,105001,445483.108698044,203672.0365520184,1001089.0
20297445,바빈스커피,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168065000,역삼2동,804,,서울특별시 강남구 역삼동 804,127.036602597823,37.50070886806978,109001,444583.4280151175,203236.57042996172,1001075.0
20776515,GIA보석교육원,R03A11,학원-보석감정,서울특별시,11680,강남구,1168054500,압구정동,639,3.0,서울특별시 강남구 신사동 639-3,127.03643720333599,37.5285320454891,201014,447671.4421806145,203220.74958870106,1001141.0
21055207,삼성수학,R01A01,학원-입시,서울특별시,11680,강남구,1168061000,대치2동,975,16.0,서울특별시 강남구 대치동 975-16,127.062606954082,37.5004405240869,201001,444554.8572253343,205536.0154862011,1000921.0
20924451,아트인스튜디오,R05A01,서예/서화/미술,서울특별시,11680,강남구,1168064000,역삼1동,818,1.0,서울특별시 강남구 역삼동 818-1,127.028053870075,37.49972877399279,203001,444474.3906204193,202480.68491987762,1001085.0
20846411,해동카센타,F14A01,자동차정비/카센타,서울특별시,11680,강남구,1168063000,대치4동,936,17.0,서울특별시 강남구 대치동 936-17,127.05401116687099,37.4977859678661,402001,444259.76501011476,204776.10261538427,1001071.0
20872409,서광카센타,F14A01,자동차정비/카센타,서울특별시,11680,강남구,1168056500,청담동,2,19.0,서울특별시 강남구 청담동 2-19,127.041283234256,37.522939909948704,402001,447050.9618488643,203649.3713476255,1001125.0
22479173,토니모리,D16A01,화장품판매점,서울특별시,11680,강남구,1168064000,역삼1동,825,26.0,서울특별시 강남구 역삼동 825-26,127.02953794895299,37.4969116618539,504003,444161.76792047033,202612.0138543912,1001066.0
22518529,훼밀리마트,D03A02,수퍼마켓,서울특별시,11680,강남구,1168054500,압구정동,588,14.0,서울특별시 강남구 신사동 588-14,127.031232578429,37.5215513704072,120001,446896.50892555295,202760.96071679372,1001120.0
22646116,커피빈,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168064000,역삼1동,705,19.0,서울특별시 강남구 역삼동 705-19,127.04822290823499,37.5047496908904,109001,445032.3702557213,204263.8621010894,1001087.0
22662734,송정,Q01A01,한식/백반/한정식,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,101001,445941.76218122244,205048.24701150547,1000935.0
22825660,신수학,R01A01,학원-입시,서울특별시,11680,강남구,1168051000,신사동,577,,서울특별시 강남구 신사동 577,127.026634390165,37.52543313718729,201001,447327.21142842993,202354.35876663905,1000899.0
22975398,박귀순미용실,F01A01,여성미용실,서울특별시,11680,강남구,1168054500,압구정동,369,1.0,서울특별시 강남구 압구정동 369-1,127.028304754856,37.5335923889483,501001,448232.83028749935,202501.73887850816,1001140.0
23446268,르사이공코엑스몰점,Q02A00,중국음식/중국집,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.05913910242799,37.5118203253706,102001,445817.67080808943,205228.57719958626,1001103.0
23128301,상록,F01A04,남성미용실,서울특별시,11680,강남구,1168064000,역삼1동,701,,서울특별시 강남구 역삼동 701,127.042725020431,37.50394837766071,501002,444943.1999043967,203777.7800613426,1001087.0
23491829,가득드림,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,105001,445941.76218122244,205048.24701150547,1000935.0
23271503,스시한판,Q03A03,음식점-초밥전문,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,103003,445941.76218122244,205048.24701150547,1000935.0
