상가업소번호,상호명,업종코드,업종명,시도명,시군구코드,시군구명,행정동코드,행정동명,지번본번지,지번부번지,지번주소,경도,위도,code,y,x,area_code
19911397,커피빈코리아선릉로93길점,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168064000,역삼1동,696,42.0,서울특별시 강남구 역삼동 696-42,127.047883157395,37.505675040057994,Q12A01,445135.0567788156,204233.76912631374,1001087.0
19905471,와라와라호프,Q09A01,호프/맥주,서울특별시,11680,강남구,1168060000,대치1동,604,,서울특별시 강남구 대치동 604,127.061026050567,37.4939223326479,Q09A01,443831.33089626953,205396.69323224842,1001053.0
20014818,쉼터,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,Q04A01,445941.76218122244,205048.24701150545,1000935.0
20015136,배제현의웰빙낙지한마리수제비,Q03A13,낙지/오징어,서울특별시,11680,강남구,1168051000,신사동,512,13.0,서울특별시 강남구 신사동 512-13,127.020944625774,37.5175739922091,Q03A13,446454.8178177648,201851.6037098318,1001470.0
20024149,타워광명내과의원,S01B07,내과/외과,서울특별시,11680,강남구,1168065600,도곡2동,467,14.0,서울특별시 강남구 도곡동 467-14,127.053197983987,37.4887418448763,S01B07,443255.9446809599,204704.76169864496,1001035.0
20027817,마깐바냑,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168064000,역삼1동,831,45.0,서울특별시 강남구 역삼동 831-45,127.03100500319,37.493652872003295,Q04A01,443800.1264896472,202741.8632588378,1001052.0
20027870,강남김밥,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168063000,대치4동,940,8.0,서울특별시 강남구 대치동 940-8,127.05856031294,37.49846206005221,Q04A01,444335.043023529,205178.3281185124,1000920.0
20099319,산울FNC,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168065600,도곡2동,467,17.0,서울특별시 강남구 도곡동 467-17,127.054163435442,37.4892992237675,Q04A01,443317.8550904696,204790.1094064084,1001035.0
20482406,소노야코엑스점,Q03A02,음식점-일식,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.05913910242799,37.5118203253706,Q03A02,445817.67080808943,205228.57719958626,1001103.0
20808534,코원성형외과,S01B08,정형/성형외과,서울특별시,11680,강남구,1168054500,압구정동,592,4.0,서울특별시 강남구 신사동 592-4,127.02853141671801,37.5222229928703,S01B08,446970.9747428461,202522.1553403263,1001120.0
20729029,달라스이용원,F01A04,남성미용실,서울특별시,11680,강남구,1168052100,논현1동,37,16.0,서울특별시 강남구 논현동 37-16,127.029772362403,37.51462831244071,F01A04,446128.09499598946,202632.1207380597,1001108.0
20755460,헬로스마일소아과,S01B11,소아과,서울특별시,11680,강남구,1168052100,논현1동,39,18.0,서울특별시 강남구 논현동 39-18,127.027878262465,37.5141441909188,S01B11,446074.3123475062,202464.68270371968,1001108.0
20787543,자임한복,D05A10,한복/갈옷/민속옷,서울특별시,11680,강남구,1168051000,신사동,586,12.0,서울특별시 강남구 신사동 586-12,127.027614145299,37.5214225188702,D05A10,446882.10797603615,202441.09532832526,1000906.0
20783574,선경바둑,N01A09,기원,서울특별시,11680,강남구,1168054500,압구정동,638,5.0,서울특별시 강남구 신사동 638-5,127.03528005896798,37.528774892987684,N01A09,447698.35624312796,203118.45741461866,1001141.0
20303513,김반장,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168064000,역삼1동,681,30.0,서울특별시 강남구 역삼동 681-30,127.04153180328301,37.508813408902995,Q04A01,445483.108698044,203672.0365520184,1001089.0
20297445,바빈스커피,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168065000,역삼2동,804,,서울특별시 강남구 역삼동 804,127.036602597823,37.500708868069786,Q12A01,444583.42801511753,203236.5704299617,1001075.0
20776515,GIA보석교육원,R03A11,학원-보석감정,서울특별시,11680,강남구,1168054500,압구정동,639,3.0,서울특별시 강남구 신사동 639-3,127.03643720333599,37.5285320454891,R03A11,447671.44218061445,203220.74958870106,1001141.0
20737410,두인토탈인테리어,D07A01,인테리어/욕실용품/커튼,서울특별시,11680,강남구,1168052100,논현1동,22,,서울특별시 강남구 논현동 22,127.02288919536,37.5150581390206,D07A01,446175.6299960199,202023.58076772705,1000888.0
21055207,삼성수학,R01A01,학원-입시,서울특별시,11680,강남구,1168061000,대치2동,975,16.0,서울특별시 강남구 대치동 975-16,127.062606954082,37.5004405240869,R01A01,444554.8572253343,205536.01548620107,1000921.0
20816709,이즈타워약,S02A01,약국,서울특별시,11680,강남구,1168064000,역삼1동,821,,서울특별시 강남구 역삼동 821,127.02802253412399,37.49865626066861,S02A01,444355.35473182844,202477.94945480247,1001066.0
20924451,아트인스튜디오,R05A01,서예/서화/미술,서울특별시,11680,강남구,1168064000,역삼1동,818,1.0,서울특별시 강남구 역삼동 818-1,127.028053870075,37.49972877399279,R05A01,444474.3906204193,202480.6849198776,1001085.0
20878275,샹제리제식품,D01A24,냉동식품판매,서울특별시,11680,강남구,1168063000,대치4동,889,5.0,서울특별시 강남구 대치동 889-5,127.049946352687,37.504412153104404,D01A24,444994.9873853638,204416.2686857629,1001082.0
20846411,해동카센타,F14A01,자동차정비/카센타,서울특별시,11680,강남구,1168063000,대치4동,936,17.0,서울특별시 강남구 대치동 936-17,127.05401116687099,37.4977859678661,F14A01,444259.76501011476,204776.10261538427,1001071.0
20872409,서광카센타,F14A01,자동차정비/카센타,서울특별시,11680,강남구,1168056500,청담동,2,19.0,서울특별시 강남구 청담동 2-19,127.041283234256,37.522939909948704,F14A01,447050.96184886433,203649.3713476255,1001125.0
21865966,태남기업사,L01A01,부동산중개,서울특별시,11680,강남구,1168064000,역삼1동,831,36.0,서울특별시 강남구 역삼동 831-36,127.031062139256,37.494482312173204,L01A01,443892.1851729085,202746.88559100646,1001066.0
22484285,남서울부동산,L01A01,부동산중개,서울특별시,11680,강남구,1168053100,논현2동,241,3.0,서울특별시 강남구 논현동 241-3,127.040582778587,37.5166809152696,L01A01,446356.26525204163,203587.75186105125,1001111.0
22526455,경희한의원,S01B06,한의원,서울특별시,11680,강남구,1168064000,역삼1동,831,18.0,서울특별시 강남구 역삼동 831-18,127.030201826875,37.493673313000606,S01B06,443802.3720812714,202670.83529481888,1001066.0
22479173,토니모리,D16A01,화장품판매점,서울특별시,11680,강남구,1168064000,역삼1동,825,26.0,서울특별시 강남구 역삼동 825-26,127.02953794895299,37.4969116618539,D16A01,444161.76792047033,202612.01385439117,1001066.0
22518529,훼밀리마트,D03A02,수퍼마켓,서울특별시,11680,강남구,1168054500,압구정동,588,14.0,서울특별시 강남구 신사동 588-14,127.031232578429,37.5215513704072,D03A02,446896.50892555295,202760.96071679375,1001120.0
22793508,제일부동산,L01A01,부동산중개,서울특별시,11680,강남구,1168061000,대치2동,511,,서울특별시 강남구 대치동 511,127.068625876052,37.495712525531296,L01A01,444030.48180094827,206068.62089766603,1001068.0
22646116,커피빈,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168064000,역삼1동,705,19.0,서울특별시 강남구 역삼동 705-19,127.04822290823499,37.5047496908904,Q12A01,445032.37025572127,204263.8621010894,1001087.0
22580943,리더스서울외과내과,S01B07,내과/외과,서울특별시,11680,강남구,1168064000,역삼1동,826,23.0,서울특별시 강남구 역삼동 826-23,127.029201049664,37.4958546587517,S01B07,444044.4450505641,202582.25855169332,1001066.0
22662734,송정,Q01A01,한식/백반/한정식,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,Q01A01,445941.76218122244,205048.24701150545,1000935.0
22825660,신수학,R01A01,학원-입시,서울특별시,11680,강남구,1168051000,신사동,577,,서울특별시 강남구 신사동 577,127.026634390165,37.52543313718729,R01A01,447327.21142842993,202354.35876663905,1000899.0
22838864,김종서성형,S01B08,정형/성형외과,서울특별시,11680,강남구,1168054500,압구정동,599,,서울특별시 강남구 신사동 599,127.028711667682,37.5240265784064,S01B08,447171.1549972426,202538.02829025217,1001140.0
22975398,박귀순미용실,F01A01,여성미용실,서울특별시,11680,강남구,1168054500,압구정동,369,1.0,서울특별시 강남구 압구정동 369-1,127.028304754856,37.5335923889483,F01A01,448232.83028749935,202501.73887850816,1001140.0
23446268,르사이공코엑스몰점,Q02A00,중국음식/중국집,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.05913910242799,37.5118203253706,Q02A00,445817.67080808943,205228.57719958626,1001103.0
23128301,상록,F01A04,남성미용실,서울특별시,11680,강남구,1168064000,역삼1동,701,,서울특별시 강남구 역삼동 701,127.042725020431,37.50394837766071,F01A04,444943.19990439666,203777.7800613426,1001087.0
23491829,가득드림,Q04A01,라면김밥분식,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,Q04A01,445941.76218122244,205048.24701150545,1000935.0
23271503,스시한판,Q03A03,음식점-초밥전문,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,Q03A03,445941.76218122244,205048.24701150545,1000935.0
23177970,대치휴게소,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168063000,대치4동,931,25.0,서울특별시 강남구 대치동 931-25,127.05971309691799,37.5003274192559,Q12A01,444542.1377694416,205280.13431072928,1001069.0
